health	6.81	5.13	5.83	0.142857143	0.19047619	0.428571429	0.238095238
dirty	3.08	4.88	4.7	0.176470588	0.529411765	0.235294118	0.058823529
alive	7.25	5.5	6.39	0.157894737	0.105263158	0.368421053	0.368421053
unhappy	1.57	4.18	3.34	0.153846154	0.076923077	0.230769231	0.538461538
strong	7.11	5.92	6.92	0.08	0.2	0.28	0.44
social	6.88	4.98	5.91	0.066666667	0.266666667	0.4	0.266666667
idiot	3.16	4.21	3.18	0.068965517	0.379310345	0.034482759	0.517241379
failure	1.7	4.95	2.4	0.086956522	0.130434783	0.347826087	0.434782609
excuse	4.05	4.48	4.07	0.090909091	0.363636364	0.363636364	0.181818182
confused	3.21	6.03	4.24	0.090909091	0.181818182	0.227272727	0.5
cancer	1.5	6.42	3.42	0.1	0	0.6	0.3
anxious	4.81	6.92	5.33	0.153846154	0	0.692307692	0.153846154
annoy	2.74	6.49	5.09	0.222222222	0.777777778	0	0
truth	7.8	5	6.47	0.047619048	0.428571429	0.19047619	0.333333333
terrible	1.93	6.27	3.58	0.045454545	0.318181818	0.409090909	0.227272727
space	6.78	5.14	5.2	0.055555556	0.5	0.277777778	0.166666667
dentist	4.02	5.73	3.8	0.037037037	0.074074074	0.259259259	0.62962963
damage	3.05	5.57	3.88	0.090909091	0	0.818181818	0.090909091
waste	2.93	4.14	4.72	0	0.4	0.05	0.55
valentine	8.11	6.06	5.81	0	0	0	1
useless	2.13	4.87	3.92	0	0.7	0.1	0.2
sex	8.05	7.36	5.75	0	0.714285714	0.142857143	0.142857143
scream	3.88	7.04	4.75	0	0.470588235	0.294117647	0.235294118
rough	4.74	5.33	4.81	0	0	0.692307692	0.307692308
mistake	2.86	5.18	3.86	0	0.222222222	0.5	0.277777778
hide	4.32	5.28	3.4	0	0.166666667	0.611111111	0.222222222
guilty	2.63	6.04	3.09	0	0	0.6	0.4
filth	2.47	5.12	3.81	0	0	0	1
abortion	3.5	5.39	4.59	0	0	0	1
